lineage_group,complete_configuration,seed,source,training_mode,image_size,payload,crop_protocol,patch_size,stride,top_ratio,global_weight,local_weight,loss_formulation,temperature,epochs,learning_rate,optimizer_state,device_protocol,evaluation,comparability,status
motivation,seed17_nocrop_encoder_decoder_global_image_mse1,17,random initialization,scratch,128x128,64 bits,Identity(),none,none,none,1.0,0.0,global image MSE,none,100,0.001,historical Adam,non-deterministic single run,one-seed fixed manifest exploratory,not comparable to crop-controlled,incomplete exploratory
historical_exploratory,patch8_nonoverlap_top25_global0.25_local0.25,17/29/41,crop-trained Global per seed,scratch,128x128,64 bits,RandomCrop(0.3,1.0),8,8,0.25,0.75,0.25,top25 per-image patch MSE,none,100,0.001,historical mixed,mixed,uniform fixed manifest,not comparable to controlled,completed exploratory
historical_exploratory,patch8_nonoverlap_top25_global0.5_local0.5,17/29/41,crop-trained Global per seed,scratch,128x128,64 bits,RandomCrop(0.3,1.0),8,8,0.25,0.5,0.5,top25 per-image patch MSE,none,100,0.001,historical mixed,mixed,uniform fixed manifest,not comparable to controlled,completed exploratory
historical_exploratory,patch8_nonoverlap_top25_global0.25_local0.75,17/29/41,crop-trained Global per seed,scratch,128x128,64 bits,RandomCrop(0.3,1.0),8,8,0.25,0.25,0.75,top25 per-image patch MSE,none,100,0.001,historical mixed,mixed,uniform fixed manifest,not comparable to controlled,completed exploratory
historical_exploratory,patch8_nonoverlap_top50_global0.5_local0.5,17/29/41,crop-trained Global per seed,scratch,128x128,64 bits,RandomCrop(0.3,1.0),8,8,0.5,0.5,0.5,top50 per-image patch MSE,none,100,0.001,historical mixed,mixed,uniform fixed manifest,not comparable to controlled,completed exploratory
controlled,seed17_continuation_message_mse10_global_image_mse1_local_none,17,optimization_global_seed17_128_m64_crop/checkpoint_0100.pth,continuation,128x128,64 bits,RandomCrop(0.3,1.0),none,none,none,1.0,0.0,global image MSE,none,20,0.0001,restored Adam/BatchNorm,single GPU deterministic,fixed manifest 5 repeats,directly comparable,completed
controlled,seed17_hard_patch16_stride16_top25_global0.5_local0.5,17,same as above,continuation,128x128,64 bits,RandomCrop(0.3,1.0),16,16,0.25,0.5,0.5,top25 per-image patch MSE,none,20,0.0001,restored Adam/BatchNorm,single GPU deterministic,fixed manifest 5 repeats,directly comparable,completed
controlled,seed17_soft_patch16_stride16_temperature0.25_global0.5_local0.5,17,same as above,continuation,128x128,64 bits,RandomCrop(0.3,1.0),16,16,all weighted,0.5,0.5,detached normalized softmax patch MSE,0.25,20,0.0001,restored Adam/BatchNorm,single GPU deterministic,fixed manifest 5 repeats,directly comparable,completed
controlled,seed17_soft_patch16_stride16_temperature0.5_global0.5_local0.5,17,same as above,continuation,128x128,64 bits,RandomCrop(0.3,1.0),16,16,all weighted,0.5,0.5,detached normalized softmax patch MSE,0.5,20,0.0001,restored Adam/BatchNorm,single GPU deterministic,fixed manifest 5 repeats,directly comparable,completed
controlled,seed17_soft_patch16_stride16_temperature1.0_global0.5_local0.5,17,same as above,continuation,128x128,64 bits,RandomCrop(0.3,1.0),16,16,all weighted,0.5,0.5,detached normalized softmax patch MSE,1.0,20,0.0001,restored Adam/BatchNorm,single GPU deterministic,fixed manifest 5 repeats,directly comparable,completed
controlled,seed17_hard_patch16_stride8_top25_global0.5_local0.5,17,same as above,continuation,128x128,64 bits,RandomCrop(0.3,1.0),16,8,0.25,0.5,0.5,top25 per-image overlapping patch MSE,none,20,0.0001,restored Adam/BatchNorm,single GPU deterministic,fixed manifest 5 repeats,directly comparable,completed
controlled,seed17_multiscale_patch16_patch32_top25_weight0.7_weight0.3_global0.5_local0.5,17,same as above,continuation,128x128,64 bits,RandomCrop(0.3,1.0),16+32,16+32,0.25 each,0.5,0.5,0.7 top25 P16 MSE + 0.3 top25 P32 MSE,none,20,0.0001,restored Adam/BatchNorm,single GPU deterministic,fixed manifest 5 repeats,directly comparable,completed
controlled,seed17_excess_patch16_threshold1_scale3_global0.5_local0.5,17,same as above,continuation,128x128,64 bits,RandomCrop(0.3,1.0),16,16,none,0.5,0.5,3 times normalized excess above detached mean,none,20,0.0001,restored Adam/BatchNorm,single GPU deterministic,fixed manifest 5 repeats,directly comparable,completed rejected
diagnostic,patch_mean_global_equivalence,17,existing checkpoints,analysis-only,128x128,64 bits,not applicable,16/32/64,matching,not applicable,not applicable,not applicable,independent patch reduction vs global MSE,none,not applicable,not applicable,not applicable,fixed tensor tests,unit-level only,completed
diagnostic,local_metric_alignment,17,controlled checkpoints,analysis-only,128x128,64 bits,not applicable,32,32,top25,not applicable,not applicable,patch MSE vs SSIM/LPIPS rank,none,not applicable,not applicable,not applicable,fixed manifest 250 images,analysis-only,completed
